username,email,password,contact_email,phone,birthdate,gender,rg,cpf,public_schooling,afro,civil_state,cep,city,neighborhood,street,street_number,complement,classroom
Jorge Antonio Terence,jorge.santana@etec.sp.gov.br,JorgeSantana2000,jorge.terence@outlook.com,11972779727,2000-01-01,M,329591769,96102219805,N,true,S,09540900,Tão Tão Distante,Jardim,Ipê,550,Ap 42 Bl 2,GT2021
Sarah de Melo,sarita.alves@etec.sp.gov.br,CapitãDoBarqu1nho,sara.melo@gmail.com,11912121212,2001-01-01,F,227126579,60965164837,N,true,S,09570605,Transilvânia,Gótico,Real,1234,Casa A,GT2021
Bruno Leonardo,bruno.martinho@etec.sp.gov.br,G0ldenRetriev3r,bruno.leopardo@hotmail.com,11923232323,1999-10-01,M,493311750,58381042879,E,true,S,09571000,Sokovia,TRTWRWFVWR,RTERTYUHDCSF,565,,GT2021
Ágata Christie,agata.christie@etec.sp.gov.br,70correr:),20comer@gmail.com,11918732323,2005-07-23,F,358141576,10083128867,H,true,S,09160235,Hollywood,Teatro,Da Escola,33,,GT2021
Giovanni de Pita,giovanni.pita@etec.sp.gov.br,Ixquece,gigi.craft@gmail.com,11934343434,1998-01-10,M,450854814,91959365800,C,true,S,09570210,São Caetano do Sul,Jardim,Rosas,720,,GT2021
Raquel Manfrim,raquel.mourato@etec.sp.gov.br,Temaki,raquel.cantina@hotmail.com,11945454545,2002-05-01,F,271415319,55698162832,E,true,S,12345678,Mabeland,Família,Temaki,777,Casa de cima,GT2021
Vicente Pascoal,vivi.pascoal@etec.sp.gov.br,Grazi,vivi.lover@outlook.com,11956565656,2004-01-01,M,377292692,99448887884,E,true,S,12345678,São Bernardo do Campo,Rudge Ramos,Universal,876,Ap 105 Bl 1,GT2021
Victor Chigueno,victor.chigueno@etec.sp.gov.br,cafe,victor.foco@protonmail.com,11967676767,2004-04-07,M,347206888,33300924839,M,true,S,12345678,São Paulo,Ipiranga,Avenida Salvador,509, Casa B,GT2021
Mariana Sei Lá das Quanta,mariana.quanta@etec.sp.gov.br,slaman,mari@gmail.com,11978787878,2006-01-01,F,139901061,66732373846,C,true,S,12345678,São Paulo,Ipiranga,Do Canto,31,,GT2022
Lucas Arnoni,lucas.querido@etec.sp.gov.br,volei,lulu.ari@outlook.com,11989898989,1995-01-01,M,276041586,34764148846,N,true,S,12345678,São Paulo,Moema,Sol,213,,ADM2021
Breno Saraiva,breno.tsundere@etec.sp.gov.br,voleitbm,brebo.craft@gmail.com,11990909090,2006-01-15,M,315914038,43832093869,M,true,S,12345678,São Paulo,Costa,Rede,456,Casa B,GT2021
Guilherme Zanetti,quilherme.zanettinho@etec.sp.gov.br,mininodiouru<3,gui.hellou@hotmail.com,11913131313,2004-02-28,M,336080451,33325642853,E,true,S,12345678,São Caetano do Sul,Sonhos,Purpurina,156,,GT2022
